len,time
10,3
20,5
30,6
40,8
50,10
60,12
70,14
80,15
90,17
100,20
110,21
120,24
130,26
140,27
150,29
160,31
170,33
180,35
190,38
200,40
210,42
220,44
230,48
240,48
250,50
260,55
270,55
280,60
290,60
300,62
310,65
320,67
330,69
340,70
350,75
360,77
370,79
380,80
390,84
400,85
410,100
420,100
430,95
440,94
450,100
460,101
470,101
480,107
490,111
500,111
510,124
520,124
530,118
540,123
550,127
560,128
570,135
580,138
590,143
600,135
610,147
620,144
630,144
640,153
650,155
660,160
670,154
680,171
690,181
700,179
710,170
720,168
730,168
740,179
750,184
760,179
770,186
780,190
790,219
800,208
810,205
820,195
830,214
840,206
850,200
860,210
870,215
880,219
890,216
900,230
910,219
920,221
930,232
940,232
950,249
960,235
970,235
980,255
990,247
1000,260
1010,250
1020,249
1030,260
1040,258
1050,259
1060,279
1070,270
1080,284
1090,273
1100,266
1110,273
1120,288
1130,295
1140,291
1150,286
1160,289
1170,295
1180,297
1190,309
1200,317
1210,314
1220,323
1230,323
1240,309
1250,316
1260,318
1270,323
1280,366
1290,328
1300,339
1310,342
1320,373
1330,353
1340,350
1350,370
1360,360
1370,369
1380,375
1390,371
1400,364
1410,390
1420,373
1430,381
1440,368
1450,397
1460,374
1470,397
1480,380
1490,386
1500,394
1510,394
1520,396
1530,407
1540,405
1550,413
1560,410
1570,420
1580,444
1590,431
1600,418
1610,429
1620,432
1630,475
1640,470
1650,446
1660,450
1670,443
1680,460
1690,465
1700,467
1710,461
1720,470
1730,452
1740,476
1750,471
1760,486
1770,471
1780,479
1790,465
1800,492
1810,484
1820,475
1830,499
1840,487
1850,506
1860,494
1870,508
1880,498
1890,526
1900,524
1910,511
1920,532
1930,523
1940,519
1950,539
1960,533
1970,539
1980,539
1990,530
2000,532
2010,528
2020,531
2030,551
2040,557
2050,578
2060,574
2070,549
2080,578
2090,574
2100,591
2110,589
2120,597
2130,604
2140,610
2150,597
2160,617
2170,620
2180,631
2190,615
2200,641
2210,606
2220,621
2230,618
2240,624
2250,617
2260,616
2270,678
2280,628
2290,620
2300,636
2310,653
2320,635
2330,654
2340,633
2350,687
2360,654
2370,678
2380,668
2390,654
2400,668
2410,676
2420,648
2430,671
2440,669
2450,686
2460,690
2470,701
2480,698
2490,688
2500,695
2510,689
2520,718
2530,704
2540,733
2550,828
2560,751
2570,717
2580,749
2590,756
2600,777
2610,783
2620,798
2630,762
2640,748
2650,768
2660,767
2670,740
2680,770
2690,776
2700,776
2710,767
2720,784
2730,805
2740,765
2750,757
2760,786
2770,822
2780,797
2790,786
2800,787
2810,782
2820,793
2830,826
2840,837
2850,806
2860,789
2870,834
2880,803
2890,831
2900,843
2910,821
2920,840
2930,816
2940,854
2950,852
2960,894
2970,864
2980,894
2990,853
3000,892
3010,900
3020,924
3030,934
3040,923
3050,888
3060,887
3070,922
3080,899
3090,888
3100,902
3110,915
3120,873
3130,902
3140,963
3150,893
3160,914
3170,923
3180,944
3190,960
3200,946
3210,942
3220,946
3230,961
3240,940
3250,942
3260,976
3270,974
3280,941
3290,942
3300,981
3310,999
3320,971
3330,984
3340,976
3350,968
3360,950
3370,968
3380,978
3390,1010
3400,980
3410,1042
3420,984
3430,1016
3440,1016
3450,995
3460,1008
3470,1031
3480,1040
3490,1072
3500,1118
3510,1054
3520,1072
3530,1098
3540,1107
3550,1139
3560,1070
3570,1078
3580,1080
3590,1093
3600,1077
3610,1077
3620,1099
3630,1117
3640,1060
3650,1073
3660,1056
3670,1058
3680,1127
3690,1127
3700,1151
3710,1116
3720,1139
3730,1163
3740,1131
3750,1206
3760,1188
3770,1164
3780,1105
3790,1113
3800,1088
3810,1107
3820,1106
3830,1148
3840,1106
3850,1102
3860,1138
3870,1120
3880,1138
3890,1128
3900,1178
3910,1111
3920,1124
3930,1131
3940,1114
3950,1146
3960,1174
3970,1139
3980,1158
3990,1176
4000,1158
4010,1271
4020,1228
4030,1224
4040,1199
4050,1233
4060,1225
4070,1228
4080,1230
4090,1298
4100,1282
4110,1233
4120,1249
4130,1251
4140,1267
4150,1251
4160,1237
4170,1283
4180,1293
4190,1270
4200,1288
4210,1355
4220,1321
4230,1295
4240,1291
4250,1284
4260,1275
4270,1293
4280,1261
4290,1241
4300,1251
4310,1251
4320,1299
4330,1305
4340,1310
4350,1337
4360,1298
4370,1342
4380,1349
4390,1402
4400,1352
4410,1338
4420,1339
4430,1393
4440,1345
4450,1368
4460,1364
4470,1376
4480,1353
4490,1337
4500,1394
4510,1356
4520,1371
4530,1325
4540,1376
4550,1421
4560,1375
4570,1383
4580,1425
4590,1450
4600,1449
4610,1419
4620,1445
4630,1459
4640,1445
4650,1414
4660,1479
4670,1397
4680,1392
4690,1436
4700,1471
4710,1494
4720,1518
4730,1433
4740,1498
4750,1496
4760,1533
4770,1474
4780,1444
4790,1448
4800,1459
4810,1453
4820,1446
4830,1453
4840,1458
4850,1407
4860,1467
4870,1469
4880,1458
4890,1556
4900,1533
4910,1574
4920,1548
4930,1566
4940,1600
4950,1536
4960,1558
4970,1474
4980,1561
4990,1524
5000,1525
5010,1411
5020,1446
5030,1562
5040,1439
5050,1555
5060,1606
5070,1598
5080,1597
5090,1613
5100,1580
5110,1647
5120,1567
5130,1623
5140,1539
5150,1568
5160,1555
5170,1556
5180,1558
5190,1532
5200,1581
5210,1465
5220,1496
5230,1519
5240,1561
5250,1506
5260,1656
