len,time
10,3
10,3
20,4
30,5
40,6
50,7
60,8
70,9
80,10
90,11
100,13
110,14
120,15
130,16
140,18
150,20
160,20
170,20
180,22
190,25
200,24
210,27
220,27
230,29
240,30
250,31
260,33
270,35
280,35
290,37
300,36
310,39
320,43
330,46
340,48
350,50
360,49
370,52
380,52
390,56
400,58
410,58
420,63
430,58
440,56
450,66
460,65
470,63
480,64
490,71
500,74
510,77
520,77
530,80
540,77
550,79
560,80
570,85
580,87
590,90
600,88
610,92
620,83
630,89
640,92
650,95
660,94
670,94
680,96
690,97
700,97
710,100
720,102
730,97
740,97
750,103
760,102
770,111
780,101
790,109
800,110
810,116
820,113
830,122
840,123
850,120
860,130
870,126
880,123
890,125
900,134
910,137
920,133
930,135
940,143
950,137
960,151
970,141
980,148
990,145
1000,151
1010,156
1020,151
1030,158
1040,170
1050,167
1060,170
1070,165
1080,169
1090,168
1100,175
1110,184
1120,183
1130,177
1140,180
1150,180
1160,188
1170,177
1180,190
1190,190
1200,184
1210,189
1220,196
1230,191
1240,189
1250,186
1260,207
1270,195
1280,200
1290,198
1300,196
1310,206
1320,210
1330,214
1340,215
1350,216
1360,229
1370,225
1380,215
1390,198
1400,216
1410,234
1420,212
1430,231
1440,218
1450,226
1460,242
1470,238
1480,247
1490,238
1500,235
1510,241
1520,228
1530,239
1540,239
1550,248
1560,241
1570,251
1580,256
1590,238
1600,236
1610,242
1620,252
1630,237
1640,258
1650,248
1660,249
1670,247
1680,251
1690,248
1700,251
1710,239
1720,259
1730,256
1740,261
1750,272
1760,267
1770,268
1780,255
1790,280
1800,275
1810,293
1820,288
1830,298
1840,306
1850,301
1860,310
1870,305
1880,313
1890,291
1900,302
1910,310
1920,310
1930,311
1940,319
1950,300
1960,311
1970,298
1980,321
1990,313
2000,314
2010,317
2020,316
2030,311
2040,315
2050,318
2060,313
2070,310
2080,299
2090,315
2100,314
2110,320
2120,326
2130,370
2140,327
2150,323
2160,327
2170,331
2180,335
2190,363
2200,372
2210,368
2220,369
2230,373
2240,375
2250,359
2260,368
2270,404
2280,385
2290,390
2300,397
2310,389
2320,361
2330,376
2340,402
2350,384
2360,377
2370,381
2380,399
2390,399
2400,380
2410,396
2420,403
2430,402
2440,382
2450,384
2460,427
2470,416
2480,393
2490,412
2500,431
2510,418
2520,433
2530,425
2540,450
2550,428
2560,447
2570,440
2580,426
2590,440
2600,436
2610,441
2620,446
2630,424
2640,437
2650,430
2660,431
2670,432
2680,435
2690,452
2700,441
2710,467
2720,465
2730,468
2740,461
2750,485
2760,470
2770,494
2780,472
2790,466
2800,484
2810,487
2820,499
2830,492
2840,467
2850,463
2860,489
2870,483
2880,483
2890,467
2900,490
2910,484
2920,497
2930,482
2940,451
2950,452
2960,467
2970,480
2980,456
2990,477
3000,466
3010,495
3020,537
3030,513
3040,518
3050,523
3060,516
3070,515
3080,537
3090,541
3100,501
3110,542
3120,508
3130,532
3140,509
3150,530
3160,547
3170,548
3180,539
3190,519
3200,529
3210,517
3220,530
3230,539
3240,552
3250,588
3260,581
3270,585
3280,582
3290,598
3300,571
3310,593
3320,625
3330,605
3340,596
3350,584
3360,621
3370,605
3380,589
3390,566
3400,591
3410,616
3420,615
3430,621
3440,622
3450,634
3460,630
3470,600
3480,636
3490,636
3500,631
3510,634
3520,616
3530,663
3540,635
3550,640
3560,648
3570,671
3580,656
3590,676
3600,686
3610,665
3620,700
3630,638
3640,614
3650,632
3660,665
3670,676
3680,693
3690,659
3700,639
3710,648
3720,644
3730,674
3740,614
3750,635
3760,654
3770,610
3780,641
3790,689
3800,725
3810,684
3820,681
3830,683
3840,720
3850,664
3860,693
3870,685
3880,704
3890,711
3900,674
3910,709
3920,777
3930,748
3940,682
3950,682
3960,685
3970,671
3980,696
3990,719
4000,740
4010,698
4020,694
4030,681
4040,691
4050,690
4060,777
4070,742
4080,736
4090,763
4100,812
4110,755
4120,750
4130,755
4140,762
4150,684
4160,729
4170,751
4180,732
4190,744
4200,758
4210,690
4220,749
4230,748
4240,751
4250,721
4260,758
4270,765
4280,814
4290,764
4300,805
4310,824
4320,799
4330,792
4340,771
4350,771
4360,794
4370,808
4380,781
4390,798
4400,801
4410,832
4420,778
4430,770
4440,773
4450,842
4460,842
4470,822
4480,822
4490,809
4500,800
4510,823
4520,801
4530,812
4540,819
4550,773
4560,736
4570,769
4580,782
4590,828
4600,836
4610,839
4620,807
4630,820
4640,891
4650,862
4660,879
4670,837
4680,850
4690,848
4700,894
4710,898
4720,854
4730,865
4740,862
4750,858
4760,836
4770,846
4780,905
4790,872
4800,885
4810,865
4820,854
4830,898
4840,872
4850,881
4860,899
4870,908
4880,837
4890,795
4900,852
4910,860
4920,860
4930,869
4940,830
4950,853
4960,860
4970,907
4980,952
4990,916
5000,870
5010,887
5020,875
5030,873
5040,892
5050,924
5060,918
5070,906
5080,931
5090,939
5100,909
5110,916
5120,925
5130,899
5140,903
5150,966
5160,960
5170,934
5180,833
5190,828
5200,848
5210,845
5220,833
5230,872
5240,853
5250,856
5260,897
5270,926
5280,860
5290,854
5300,862
5310,903
5320,853
5330,904
5340,901
5350,968
5360,962
5370,912
5380,966
5390,984
5400,972
5410,1003
5420,1019
5430,977
5440,959
5450,982
5460,1035
5470,976
5480,972
5490,971
5500,943
5510,880
5520,913
5530,910
5540,976
5550,990
5560,992
5570,1045
5580,1026
5590,975
5600,1050
5610,1052
5620,1091
5630,1050
5640,1030
5650,982
5660,971
5670,998
5680,988
5690,983
5700,1004
5710,1050
5720,1061
5730,1073
5740,1047
5750,1073
5760,1067
5770,1046
5780,1051
5790,1052
5800,1111
5810,1106
5820,1113
5830,1081
5840,1104
5850,1118
5860,1165
5870,1126
5880,1101
5890,1117
5900,1086
5910,1150
5920,1061
5930,1057
5940,1150
5950,1112
5960,1089
5970,1092
5980,1110
5990,1101
6000,1033
6010,1035
6020,1047
6030,1094
6040,1100
6050,1147
6060,1138
6070,1095
6080,1125
6090,1040
6100,1105
6110,1119
6120,1136
6130,1026
6140,1045
6150,1071
6160,1026
6170,1062
6180,1116
6190,1125
6200,1116
6210,1135
6220,1078
6230,1093
6240,1076
6250,1124
6260,1124
6270,1089
6280,1096
6290,1102
6300,1090
6310,1016
6320,1040
6330,1025
6340,1063
6350,1058
6360,1070
6370,1155
6380,1126
6390,1102
6400,1106
6410,1189
6420,1118
6430,1164
6440,1111
6450,1182
6460,1197
6470,1148
6480,1139
6490,1166
6500,1119
6510,1096
6520,1117
6530,1149
6540,1216
6550,1218
6560,1122
6570,1110
6580,1204
6590,1109
6600,1134
6610,1187
6620,1125
6630,1178
6640,1157
6650,1141
6660,1096
6670,1124
6680,1062
6690,1124
6700,1090
6710,1094
6720,1190
6730,1197
6740,1221
6750,1239
6760,1244
6770,1148
6780,1242
6790,1157
6800,1234
6810,1171
6820,1238
6830,1172
6840,1260
6850,1181
6860,1112
6870,1162
6880,1223
6890,1178
6900,1140
6910,1317
6920,1307
6930,1207
6940,1270
6950,1213
6960,1246
6970,1259
6980,1263
6990,1231
7000,1228
7010,1218
7020,1256
7030,1232
7040,1206
7050,1216
7060,1236
7070,1305
7080,1322
7090,1302
7100,1259
7110,1277
7120,1186
7130,1263
7140,1309
7150,1305
7160,1305
7170,1241
7180,1270
7190,1228
7200,1243
7210,1313
7220,1327
7230,1249
7240,1265
7250,1345
7260,1244
7270,1235
7280,1272
7290,1296
7300,1246
7310,1245
7320,1254
7330,1284
7340,1266
7350,1254
7360,1280
7370,1328
7380,1377
7390,1276
7400,1405
7410,1386
7420,1348
7430,1306
7440,1304
7450,1335
7460,1379
7470,1318
7480,1301
7490,1380
7500,1281
7510,1317
7520,1321
7530,1361
7540,1358
7550,1337
7560,1366
7570,1334
7580,1350
7590,1357
7600,1446
7610,1334
7620,1363
7630,1312
7640,1277
7650,1271
7660,1286
7670,1265
7680,1275
7690,1271
7700,1336
7710,1339
7720,1331
7730,1352
7740,1431
7750,1412
7760,1433
