len,time
10,3
20,4
30,5
40,6
50,7
60,9
70,10
80,11
90,13
100,15
110,16
120,19
130,21
140,24
150,27
160,31
170,39
180,47
190,46
200,53
210,55
220,55
230,74
240,73
250,74
260,67
270,90
280,103
290,90
300,101
310,98
320,121
330,104
340,119
350,123
360,150
370,166
380,154
390,159
400,175
410,175
420,160
430,185
440,211
450,227
460,219
470,200
480,208
490,256
500,259
510,262
520,248
530,276
540,318
550,323
560,335
570,354
580,348
590,374
600,377
610,370
620,395
630,408
640,399
650,447
660,455
670,478
680,489
690,496
700,498
710,520
720,489
730,469
740,523
750,500
760,534
770,500
780,566
790,639
800,612
810,603
820,675
830,681
840,609
850,741
860,717
870,756
880,731
890,688
900,692
910,804
920,827
930,831
940,838
950,800
960,920
970,879
980,941
990,864
1000,990
1010,949
1020,967
1030,1052
1040,1019
1050,981
1060,963
1070,1016
1080,1152
1090,1229
1100,1160
1110,1220
1120,1083
1130,1200
1140,1324
1150,1181
1160,1348
1170,1176
1180,1391
1190,1336
1200,1274
1210,1373
1220,1342
1230,1481
1240,1511
1250,1670
1260,1499
1270,1638
1280,1376
1290,1460
1300,1704
1310,1754
1320,1712
1330,1689
1340,1678
1350,1771
1360,1688
1370,1810
1380,1738
1390,1546
1400,1545
1410,1628
1420,1695
1430,1641
1440,1681
1450,1764
1460,1879
1470,1785
1480,1785
1490,1855
1500,1872
1510,1903
1520,2020
1530,2112
1540,2382
1550,2346
1560,2332
1570,2326
1580,2160
1590,2031
1600,2072
1610,1956
1620,2104
1630,2234
1640,2176
1650,2140
1660,2182
1670,2550
1680,2537
1690,2397
1700,2539
1710,2408
1720,2721
1730,3124
1740,2501
1750,2494
1760,3050
1770,3078
1780,2540
1790,3024
1800,3134
1810,2668
1820,2753
1830,2881
1840,2957
1850,2786
1860,3475
1870,3496
1880,3602
1890,3731
1900,3089
1910,3225
1920,3209
1930,3057
1940,2947
1950,3082
1960,3004
1970,3028
1980,3021
1990,3191
2000,3197
2010,3150
2020,3164
2030,3297
2040,3364
2050,3239
2060,3265
2070,3406
2080,3425
2090,3378
2100,3502
2110,3627
2120,3657
2130,3519
2140,3543
2150,3839
2160,3675
2170,3688
2180,3853
2190,4581
2200,4350
2210,4765
2220,4725
2230,3978
2240,4102
2250,4782
2260,4133
2270,4745
2280,4817
2290,4914
2300,5128
2310,4535
2320,5186
2330,4632
2340,4740
2350,4957
2360,5123
2370,4440
2380,5357
2390,4954
2400,4780
2410,4466
2420,4578
2430,4690
2440,4686
2450,4636
2460,4645
2470,4888
2480,4757
2490,4869
2500,5184
2510,4948
2520,5019
2530,5044
2540,4969
2550,4995
2560,5471
2570,5230
2580,5099
2590,5353
2600,5816
2610,6072
2620,6803
2630,6312
2640,6496
2650,5760
2660,5645
2670,7033
2680,7134
2690,6444
2700,6063
2710,6629
2720,6530
2730,6646
2740,6739
2750,7516
2760,5967
2770,6077
2780,5835
2790,7558
2800,6932
2810,7690
2820,7455
2830,6845
2840,7344
2850,6429
2860,7293
2870,6897
2880,7176
2890,6786
2900,7223
2910,7755
2920,7045
2930,7550
2940,6956
2950,6934
2960,8459
2970,7153
2980,7717
2990,8919
3000,8732
3010,9005
3020,8071
3030,8101
3040,8200
3050,7438
3060,7255
3070,7364
3080,7171
3090,7722
3100,7387
3110,7752
3120,7647
3130,7675
3140,8007
3150,8152
3160,9106
3170,7601
3180,9941
3190,8185
3200,8077
3210,8631
3220,10234
3230,8638
3240,10183
3250,9244
3260,11110
3270,9361
3280,8919
3290,9064
3300,9778
3310,9884
3320,10745
3330,9339
3340,8915
3350,8965
3360,9089
3370,8791
3380,9400
3390,8921
3400,9623
3410,10640
3420,10125
3430,9244
3440,9903
3450,9610
3460,12584
3470,10542
3480,9721
3490,11769
3500,12360
3510,11009
3520,11564
3530,12119
3540,11999
3550,11519
3560,11134
3570,9694
3580,10034
3590,9873
3600,10452
3610,9907
3620,10224
3630,10609
3640,10296
3650,10494
3660,10803
3670,10604
3680,10893
3690,10618
3700,11410
3710,12572
3720,13682
3730,13694
3740,11932
3750,13803
3760,15076
3770,13355
3780,13179
3790,12185
3800,11444
3810,11335
3820,11726
3830,14171
3840,12080
3850,12158
3860,13635
3870,12024
3880,12732
3890,12526
3900,12150
3910,12745
3920,13811
3930,13906
3940,14390
3950,12837
3960,15103
3970,15685
3980,14208
3990,13767
4000,12908
4010,12780
4020,12829
